"CompanyID","Frequency","LastKnownValuation","Revenue","CompanyName","WebGrowthRate","PrimaryIndustrySector"
"100649-62",1,77.77218647,0.44692583,Ginolis,,Business Products and Services (B2B)
"101914-12",1,13.47499,1.1,idaciti,,Information Technology
"102885-40",1,214.04525076,,Viv Labs,,Information Technology
"103248-37",2,1876.0,180.117,Nerdy (Educational Software),,Information Technology
"103301-11",1,16.7,,Twine Health,,Healthcare
"10435-96",1,203.0,125.0,Power Distribution,,Business Products and Services (B2B)
"105799-51",1,,2.47193,Iota Communications,,Information Technology
"105808-24",1,242.78857426,81.54526903,Just Spices,,Consumer Products and Services (B2C)
"107180-47",6,4473.68,233.16443597,Eutelsat OneWeb,,Information Technology
"107377-39",1,370.0,,Annapurna Labs,,Information Technology
"107627-32",1,274.67392009,42.3797043,MolMed,,Healthcare
"107815-96",1,,7.98370248,Dignitana,,Healthcare
"107819-47",1,,165.8,Slim Chickens,,Consumer Products and Services (B2C)
"107972-11",2,301.0,10.0,Fetch Robotics,,Information Technology
"108045-46",1,1100.0,,Carbon Engineering,,Business Products and Services (B2B)
"108106-93",2,13.09130563,15.02727316,Spotlight Stock Market,,Financial Services
"108314-65",1,34.01314154,0.0,Xspray Pharma,,Healthcare
"108319-87",1,20.0,27.5,ACT Genomics,,Healthcare
"108719-92",1,,,Cydas,,Information Technology
"109207-00",2,,,Chicilon Media,,Business Products and Services (B2B)
"109239-31",1,1474.731626,1693.64443217,Lexin Fintech,,Financial Services
"10925-02",1,13176.0,16030.0,Whole Foods Market,,Consumer Products and Services (B2C)
"109540-09",1,113.88,,Paravision (Network Management Software),,Information Technology
"110421-73",1,306.6233452,,IDology,,Information Technology
"110586-07",1,35.999977,,Lumi,,Business Products and Services (B2B)
"11061-46",1,124.52130175,40.20704017,Air Works India,,Business Products and Services (B2B)
"111172-24",1,704.38667515,19.20817743,Touchlight,,Healthcare
"111321-01",1,18.629379,,Smyte,,Information Technology
"111393-10",1,1841.632,83.40094486,"9F Group",,Information Technology
"111521-26",1,370.50553751,366.87648333,Porter,,Business Products and Services (B2B)
"11204-38",7,613.207,100.0,Guggenheim Partners,,Financial Services
"112906-99",1,136.6,25.0,High West Distillery,,Consumer Products and Services (B2C)
"113702-68",1,,,PowerHub,,Information Technology
"11373-76",1,1580.0,3209.7576576,Żabka Polska,,Consumer Products and Services (B2C)
"11423-26",2,9169.49335961,15338.65596991,Sunac China Holdings,,Business Products and Services (B2B)
"11672-38",1,13000.0,3497.429,Change Healthcare,,Healthcare
"117450-19",1,1.714285,,NuCypher,,Information Technology
"119502-10",1,45.0,,PhysioAssist,,Healthcare
"12026-71",1,715.0,516.583,Ruth's Hospitality Group,,Consumer Products and Services (B2C)
"121187-35",1,,2.90215404,KCR Residential REIT,,Financial Services
"121192-48",1,550.0,1000.0,Shipt,,Consumer Products and Services (B2C)
"122106-43",1,424.72,12.31,Lemonaid Health,,Healthcare
"12256-48",1,40.0,,DeRemate,,Consumer Products and Services (B2C)
"123265-18",1,1000.0,,Letgo,,Consumer Products and Services (B2C)
"12370-06",1,,,Enli Health Intelligence,,Healthcare
"125467-93",1,12.5,11.71552942,FoodPanda India,,Consumer Products and Services (B2C)
"12649-33",2,,,Associations,,Business Products and Services (B2B)
"128338-12",3,360.0,361.0,Boston Celtics,,Consumer Products and Services (B2C)
"129055-69",1,,,Genesis Global Trading,,Financial Services
"13141-99",1,,50.0,Bellwyck Packaging,,Materials and Resources
"13164-58",1,3100.0,1226.226,NuVasive,,Healthcare
"132208-12",2,31.1629967,6.79052586,Javln,,Information Technology
"13314-79",1,851.0,239.843,Cardiovascular Systems,,Healthcare
"13331-53",1,100.0,,VUDU,,Information Technology
"13461-49",1,590.0,221.60947712,Texas Rangers,,Consumer Products and Services (B2C)
"13474-27",1,5.25,41.5,The Tiffen Company,,Business Products and Services (B2B)
"14137-93",1,70.0,27.2,Proton OnSite,,Energy
"14185-81",1,163.51586267,,BlueOrchard Finance,,Financial Services
"144296-29",1,916.66229468,24.46994233,Autins Group,,Business Products and Services (B2B)
"14768-29",1,2857.24,1333.781,Sunovion Pharmaceuticals,,Healthcare
"148163-68",1,1988.09354553,94.39866573,Exotec,,Information Technology
"149415-13",1,1000.0,6.0,Musical.Ly,,Information Technology
"150405-94",1,,,Aviva Systems Biology,,Healthcare
"151193-08",3,9800.0,84.0,GRAIL,,Healthcare
"151213-33",2,503.15301,47.171,Arcellx,,Healthcare
"152136-91",1,20.9115,0.01,Reign Resources,,Consumer Products and Services (B2C)
"152630-29",1,5.86890696,0.83744139,Venture Catalysts (Mumbai),,Financial Services
"154050-94",1,46.63068129,13.00034808,Pocket Aces,,Consumer Products and Services (B2C)
"154452-34",1,4.16685021,,Immersal,,Information Technology
"154455-22",1,,,EnerPure,,Business Products and Services (B2B)
"155577-52",2,75.0,37.8,Wired,,Business Products and Services (B2B)
"157019-95",1,82.9501115,,Grind (London),,Consumer Products and Services (B2C)
"157569-13",4,,,Swift Medical,,Healthcare
"157848-94",1,,11.90043322,GreenFlux,,Information Technology
"162168-40",1,33.75864221,2704.2087666,Edzcom,,Information Technology
"162423-37",1,550.0,120.0,The Athletic,,Consumer Products and Services (B2C)
"166830-31",1,8.10981038,13.27557338,Beardo,,Consumer Products and Services (B2C)
"167726-35",1,27.17866601,0.39941409,Epishine,,Energy
"169367-23",1,2.43221669,,Liopa,,Information Technology
"170382-61",2,365.32516974,19.26248237,Re:Newcell,,Business Products and Services (B2B)
"171088-30",1,9.0,,Cuberg,,Business Products and Services (B2B)
"171367-03",1,,,Cashaa,,Information Technology
"171674-02",1,240.58020905,14.69034485,Quantile,,Information Technology
"171751-24",1,185.0,,Sentieo,,Business Products and Services (B2B)
"173929-51",1,,,Holo-Light,,Information Technology
"174892-24",1,,,VanMoof,,Consumer Products and Services (B2C)
"178402-87",1,67.1290412,0.0,Oxford Cannabinoid Technologies,,Healthcare
"178403-23",2,133.56036165,10.06979,FarMart,,Business Products and Services (B2B)
"179774-11",1,127.0,,Qu (Business/Productivity Software),,Information Technology
"180447-85",1,5250.000003,20.0,Redwood Materials,,Materials and Resources
"181620-28",1,,,Tattoo,,Business Products and Services (B2B)
"181623-88",4,,,Frugal Technologies,,Business Products and Services (B2B)
"182191-60",1,228.00228343,,Shadow (Non-Financial Application Software),,Consumer Products and Services (B2C)
"182294-29",1,,0.51495,Greater States Sports Authority,,Consumer Products and Services (B2C)
"182866-69",1,,,FusionIQ,,Information Technology
"183178-27",1,400.0,106.51614086,Knix,,Consumer Products and Services (B2C)
"183377-35",2,665.0,0.0,Alpha Tau,,Healthcare
"183746-35",2,,1.45254235,Pernia's Pop-Up Shop,,Consumer Products and Services (B2C)
"185250-52",1,,20.56,Dementia Caring,,Healthcare
"186213-61",1,28.999998,,Showfields,,Consumer Products and Services (B2C)
"186721-39",1,,,RCN,,Information Technology
"187526-44",1,,,Soleil,,Energy
"187635-16",1,17.0,1.0,Domicile,,Business Products and Services (B2B)
"187814-35",1,28.72198458,,Oxford VR,,Healthcare
"187988-23",1,42.91077625,2.06343623,Quandela,,Information Technology
"221657-05",1,,,Blast (Entertainment Software),,Information Technology
"222540-94",1,,,Botkin.AI,,Healthcare
"222796-63",1,124.999995,3.9,Rafay,,Information Technology
"224194-33",1,,,ProcessGold,,Information Technology
"224327-71",1,27.40020048,3.84886632,RugbyPass,,Consumer Products and Services (B2C)
"225982-36",1,,,AmpUp,,Consumer Products and Services (B2C)
"227327-68",1,,,Streamr (Software Development Applications),,Information Technology
"227982-97",1,7.40692824,0.87834298,Musiio,,Information Technology
"228955-87",1,10.27856565,,Poetics (Business/Productivity Software),,Information Technology
"228964-60",1,0.0137098,1.29649431,Chtrbox,,Business Products and Services (B2B)
"230540-23",1,185.0,,Activ Surgical,,Healthcare
"231070-51",1,42.824657,,Nammu21,,Information Technology
"231130-99",1,6.87813887,,Jumpship,,Information Technology
"231571-36",1,0.333333,,Shoffr,,Information Technology
"232177-33",1,0.15,10.31325373,Uranium Royalty,,Financial Services
"232177-96",1,130.0,,Clearview AI,,Business Products and Services (B2B)
"233359-12",1,,,Cartesi,,Information Technology
"234191-08",1,13.17303574,,Soisy,,Information Technology
"234233-38",2,0.72,,Utrust,,Information Technology
"25329-07",7,40199.83944891,37388.69299092,Schneider Electric,,Business Products and Services (B2B)
"25352-74",1,315.0,57.0,HuffPost,,Consumer Products and Services (B2C)
